ST;Dehiscence
ST1;0
ST1;0
ST1;0
ST1;0
ST1;0
ST1;0
ST1;0
ST1;0
ST1;0
ST1;0
ST1;0
ST1;0
ST1;0
ST1;0
ST1;0
ST1;0
ST1;0
ST1;NA
ST1;NA
ST1;NA
ST1;NA
ST2;0
ST2;0
ST2;0
ST2;0
ST2;0
ST2;0
ST2;0
ST2;0
ST2;0
ST2;0
ST2;0
ST2;0
ST2;0
ST2;0
ST2;0
ST2;0
ST2;0
ST2;0
ST2;1
ST2;1
ST2;NA
ST3;1
ST3;1
ST3;0
ST3;1
ST3;1
ST3;1
ST3;1
ST3;1
ST3;1
ST3;1
ST3;1
ST3;1
ST3;1
ST3;1
ST3;0
ST3;0
ST3;1
ST3;1
ST3;NA
ST3;NA
ST3;NA
ST4;1
ST4;1
ST4;1
ST4;1
ST4;1
ST4;1
ST4;1
ST4;1
ST4;1
ST4;1
ST4;1
ST4;1
ST4;1
ST4;1
ST4;1
ST4;1
ST4;1
ST4;1
ST4;1
ST4;1
ST4;1
ST5;1
ST5;1
ST5;1
ST5;1
ST5;1
ST5;1
ST5;1
ST5;1
ST5;1
ST5;1
ST5;1
ST5;1
ST5;1
ST5;1
ST5;1
ST5;1
ST5;1
ST5;1
ST5;1
ST5;1
ST5;NA
ST5;NA
